Date,Subject,Syllabus Topic,Question,User Answer,Correct?
2025-01-17 07:32:18,Mathematics,Mathematics - Number and Algebra - Subtraction,What is 100 - 45?,55,True
2025-01-17 07:32:33,Science,Science - Earth and Space Sciences - Our Solar System,What is the name of the planet we live on?,Earth,True
2025-01-17 07:33:15,English,English - Grammar - Nouns,Which of the following is a proper noun?,city,False
2025-01-17 07:35:03,Mathematics,Mathematics - Number and Algebra - Rounding Numbers,What is 126 rounded to the nearest hundred?,120,False
2025-01-17 07:35:51,Mathematics,Mathematics - Number and Algebra - Rounding Numbers,What is 59 rounded to the nearest ten?,60,True
2025-01-17 07:36:35,Mathematics,Mathematics - Number and Algebra - Division and Fractions,What is half of 56?,32,False
2025-01-17 07:37:14,English,English - Grammar - Adjectives,Which word is an adjective in this sentence: 'The fluffy cat slept on the warm mat.',slept,False
2025-01-17 07:37:58,Mathematics,Mathematics - Measurement and Geometry - Time,How many hours are there in a day?,24,True
2025-01-17 07:38:48,English,English - Vocabulary - Antonyms,Which of these words is an antonym of 'big'?,small,True
2025-01-17 07:39:42,Mathematics,Mathematics - Measurement and Geometry - Time,How many days are there in a year (not including a leap year)?,360,False
2025-01-17 07:42:35,Mathematics,Mathematics - Number and Algebra - Multiplication,What is the value of 5 × 7?,35,True
2025-01-17 07:43:08,Science,Science - Food and Nutrition,Which of these is a fruit?,Apple,True
2025-01-17 07:48:58,Mathematics,Mathematics - Measurement and Geometry - Perimeter,What is the perimeter of a rectangle with length 6 cm and width 3 cm?,18 cm,True
2025-01-17 07:50:51,Science,Science - Living World - Animal Classification,Which of these animals is a mammal?,dolphin,True
2025-01-17 07:52:28,Mathematics,Mathematics - Number and Algebra - Addition,What is 10 + 15?,25,True
2025-01-17 07:52:44,English,English - Vocabulary - Synonyms,Which of these is a synonym for 'happy'?,Joyful,True
2025-01-17 07:53:06,Science,Science - Earth and Space Sciences - The Moon,What is the name of Earth's natural satellite?,Sun,False
2025-01-17 07:53:13,Science,Science - Earth and Space Sciences - Planets,Which planet is known as the 'Red Planet'?,Mars,True
2025-01-17 07:53:25,English,English - Grammar - Capitalization,What is the capital letter in the word 'Australia'?,A,True
2025-01-17 07:56:03,Mathematics,Mathematics - Number and Algebra - Roman Numerals,How is the number 9 written in Roman numerals?,IX,True
2025-01-17 07:56:59,English,English - Grammar - Word Choice,"Which word completes this sentence correctly?
My sister _______ enjoys reading books about animals.",always,True
2025-01-17 07:58:09,Science,Science - Space - Planets,What is the largest planet in our solar system?,Saturn,False
2025-01-17 07:59:02,English,English - Spelling - Common Words,What is the correct spelling of the word for a very large animal that lives in the water?,whale,True
2025-01-17 07:59:23,Science,Science - Earth and Space Sciences - Our Solar System,What is the largest planet in our solar system?,Jupiter,True
2025-01-17 08:01:39,Mathematics,Mathematics - Number and Algebra - Rounding Numbers,What is 349 rounded to the nearest hundred?,300,True
2025-01-17 08:04:39,English,English - Punctuation - Question Marks,Which punctuation mark is missing from this sentence? 'What time is dinner ready',?,True
2025-01-17 08:06:22,Mathematics,Mathematics - Number and Algebra - Number Patterns,"What is the missing number in the sequence: 7, 14, 21, ___?",28,True
2025-01-17 08:07:59,English,English - Grammar - Adjectives,Which word is an adjective?,happy,True
2025-01-17 08:10:34,Mathematics,Mathematics - Number and Algebra - Rounding Numbers,What is 243 rounded to the nearest hundred?,200,True
2025-01-17 08:16:06,English,English - Grammar - Parts of Speech,Which of these is a verb?,Blue,False
2025-01-17 08:16:21,Mathematics,Mathematics - Measurement and Geometry - Angles,Which of the following is a right angle?,180 degrees,False
2025-01-17 08:16:52,English,English - Grammar - Contractions,Which word is a contraction for 'do not'?,don't,True
2025-01-17 08:17:06,Science,Science - Living World - Living and Non-Living Things,Which of these is a non-living thing?,chair,True
2025-01-17 08:18:00,Science,Science - Earth and Space Sciences - Renewable Energy,Which of these is a renewable energy source?,Gas,False
2025-01-17 08:18:53,Mathematics,Mathematics - Number and Algebra - Multiplication,What is the value of 8 × 6?,56,False
2025-01-17 08:19:05,Mathematics,Mathematics - Measurement and Geometry - Time,How many seconds are there in a minute?,60,True
2025-01-17 08:19:36,English,English - Grammar - Adverbs,"Which word completes this sentence correctly?
The baby slept _______ through the night.",quietly,True
2025-01-18 08:11:17,English,English - Grammar - Capitalization,Which sentence uses capital letters correctly?,My friend Sam lives in Sydney.,True
2025-01-18 08:11:30,Science,Science - Earth and Space Sciences - Our Solar System,What is the name of the planet we live on?,Earth,True
2025-01-18 08:11:42,Mathematics,Mathematics - Measurement and Geometry - Time,How many minutes are there in an hour?,60,True
2025-01-18 08:12:08,English,English - Grammar - Nouns,Which of the following is an example of a noun?,happily,False
2025-01-18 08:13:36,Mathematics,Mathematics - Measurement and Geometry - 3D Shapes,Which of the following is a solid shape?,circle,False
2025-01-18 08:14:38,English,English - Grammar - Possessive Pronouns,"Which word completes this sentence correctly?
The dog wagged ______ tail happily when it saw its owner.",it's,False
2025-01-18 08:18:19,Mathematics,Mathematics - Measurement and Geometry - 2D Shapes,How many sides does a hexagon have?,5,False
2025-01-18 08:18:40,English,English - Spelling - Common Words,Which of these is the correct spelling of the word for a large body of water?,ocean,True
2025-01-18 08:18:55,English,English - Grammar - Subject-Verb Agreement,"Which word completes this sentence correctly?
The children ______ playing in the park all afternoon.",was,False
2025-01-18 08:20:15,Mathematics,Mathematics - Number and Algebra - Roman Numerals,How is the number 9 written in Roman numerals?,IX,True
